job_id,arrival_time,num_iteration,iteration_computing_time,iteration_networking_time,gpu_workers,ps,gpu_per_worker,cpu_per_gpu_worker,cpu_per_ps_worker,tensorsizes,profiled_network
0,0.0,208,0.5,0.25,8,0,8.0,15.0,15.0,10.0,500
1,313.0,156,0.5,0.25,8,0,8.0,15.0,15.0,10.0,500
2,14435.0,4504,0.5,0.25,8,0,8.0,15.0,15.0,10.0,500
3,58324.0,136,0.5,0.75,16,0,8.0,15.0,15.0,10.0,1000
4,65286.0,710,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
5,66420.0,702,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
6,73112.0,680,0.5,0.75,40,0,8.0,15.0,15.0,10.0,1000
7,90040.0,690,0.5,0.75,37,0,8.0,15.0,15.0,10.0,1000
8,106103.0,662,0.5,0.25,8,0,8.0,15.0,15.0,10.0,500
9,106357.0,668,0.5,0.25,8,0,8.0,15.0,15.0,10.0,500
10,107770.0,430450,0.5,0.25,8,0,8.0,15.0,15.0,10.0,500
11,527883.0,64,0.5,0.75,32,0,8.0,15.0,15.0,10.0,1000
12,540714.0,874,0.5,0.25,8,0,8.0,15.0,15.0,10.0,500
13,542195.0,78118,0.5,0.25,4,0,8.0,15.0,15.0,10.0,500
14,542435.0,6524,0.5,0.25,2,0,8.0,15.0,15.0,10.0,500
15,578635.0,666,0.5,0.25,8,0,8.0,15.0,15.0,10.0,500
16,579008.0,680,0.5,0.25,8,0,8.0,15.0,15.0,10.0,500
17,579586.0,674,0.5,0.25,8,0,8.0,15.0,15.0,10.0,500
18,579920.0,4274,0.5,0.25,8,0,8.0,15.0,15.0,10.0,500
19,584487.0,6692,0.5,0.25,2,0,8.0,15.0,15.0,10.0,500
20,587212.0,6484,0.5,0.25,2,0,8.0,15.0,15.0,10.0,500
21,590072.0,664,0.5,0.25,1,0,8.0,15.0,15.0,10.0,500
22,590510.0,658,0.5,0.25,1,0,8.0,15.0,15.0,10.0,500
23,661494.0,167664,0.5,0.25,8,0,8.0,15.0,15.0,10.0,500
24,684979.0,702,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
25,689576.0,40,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
26,689758.0,382,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
27,706154.0,144,0.5,0.25,1,0,8.0,15.0,15.0,10.0,500
28,753286.0,14284,0.5,0.25,8,0,8.0,15.0,15.0,10.0,500
29,762358.0,151418,0.5,0.25,8,0,8.0,15.0,15.0,10.0,500
30,764525.0,167558,0.5,0.25,4,0,8.0,15.0,15.0,10.0,500
31,791196.0,674,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
32,849970.0,724,0.5,0.25,2,0,8.0,15.0,15.0,10.0,500
33,857141.0,662,0.5,0.25,8,0,8.0,15.0,15.0,10.0,500
34,952949.0,748,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
35,953556.0,36,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
36,953591.0,36,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
37,953619.0,30,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
38,953817.0,28,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
39,953980.0,32,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
40,954070.0,718,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
41,954571.0,748,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
42,955384.0,32,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
43,955699.0,502,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
44,959874.0,74,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
45,960043.0,758,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
46,960204.0,90,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
47,960295.0,526,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
48,960418.0,56,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
49,960522.0,542,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
50,966058.0,72,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
51,966665.0,84,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
52,967005.0,118,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
53,968599.0,118,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
54,1016407.0,382,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
55,1016651.0,114,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
56,1016886.0,590,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
57,1018123.0,104,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
58,1018309.0,808,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
59,1019851.0,56,0.5,0.25,1,0,2.0,60.0,60.0,10.0,500
